name,location,description,phone,companyUrl
Excelerate Performance,"Branford, CT",Offers police car equipment installation services,203-483-6100,https://www.excelerateperformance.com/
AC Auto Electric,"Streator, IL",Provides upfitting services for emergency vehicles,815-673-2198,https://www.acautoelectric.com/
Grote Automotive,"Streator, IL",Specializes in police car lighting and equipment installation,815-672-3377,https://groteautomotive.com/
K9 Installs,"Glenview, IL",Experts in K9 unit vehicle upfitting,773-655-4103,http://www.k9installs.com/
Lauria Ford,"Streator, IL",Offers police car equipment installation services,815-672-3187,https://www.lauriaford.com/
MW Autosports,"Streator, IL",Provides upfitting services for law enforcement vehicles,815-672-4600,https://www.mwautosports.com/
Gladstone Dodge,"Ottawa, IL",Specializes in police car equipment installation,815-431-5014,https://www.gladstonedodge.com/
Lightning Equipment Sales,"Beckley, WV",Supplier of police car lighting and equipment,304-253-7737,https://www.lightningequipment.com/
Midwest Emergency Services,"Streator, IL",Experts in emergency vehicle upfitting,815-672-1983,https://midwest-services.com/
"Havis, Inc.",Warren,Specializes in mobile office solutions for public safety vehicles.,800-524-9900,https://www.havis.com/
Setina Manufacturing,New Richmond,"Provides partitions, push bumpers, and more for law enforcement vehicles.",800-426-2627,https://www.setina.com/
SoundOff Signal,Hudson,Produces lighting and electronic warning systems for emergency vehicles.,800-338-3155,https://www.soundoffsignal.com/
Whelen Engineering,Chester,Manufactures lighting and siren systems for police cars and other emergency vehicles.,860-526-9504,https://www.whelen.com/
Gamber-Johnson,Stevens Point,Offers mounting equipment and docking stations for public safety vehicles.,800-487-9220,https://www.gamberjohnson.com/
Troy Products,Salt Lake City,Specializes in vehicle-specific products for police and other public safety fleet vehicles.,800-700-8769,https://troyproducts.com/
"Code 3, Inc.",St. Louis,Provides lighting and other safety products for emergency vehicles.,314-426-2700,https://www.code3esg.com/
Federal Signal Corporation,Oak Brook,"Offers a wide range of products for public safety and industrial vehicles, including lighting, sirens, and more.",630-954-2000,https://www.federalsignal.com/
Go Rhino,Brea,"Manufactures protective products for police and other emergency vehicles, such as push bumpers and prisoner partitions.",888-427-4466,https://www.gorhino.com/
Jotto Desk,Rogers,Specializes in mobile office solutions and equipment mounts for public safety vehicles.,877-455-6886,https://www.jottopublicsafety.com/
Pro-gard Products,Indianapolis,"Offers a range of products for police and public safety vehicles, such as partitions, push bumpers, and more.",800-480-6680,https://www.pro-gard.com/
OPS Public Safety,Watsonville,Specializes in secure storage solutions for public safety vehicles.,866-205-8200,https://opspublicsafety.com/
"Kustom Signals, Inc.","Kustom Signals, Inc., 2155 Barrett Drive, Urbana, IL 61802",Provides equipment and installation for law enforcement vehicles.,(800) 835-0156,https://kustomsignals.com/
"Galls, LLC","Galls, LLC, 301 Lincoln Square, Urbana, IL 61801",Offers a wide range of equipment and upfitting services for police vehicles.,(800) 477-7766,https://www.galls.com/
"Whelen Engineering Company, Inc.","Whelen Engineering Company, Inc., 33 Gateway Park Drive, Urbana, IL 61802",Specializes in emergency vehicle lighting and warning systems.,(860) 379-4710,https://www.whelen.com/
"Code 3, Inc.","Code 3, Inc., 10986 N Street, Urbana, IL 61801","Provides emergency lighting, sirens, and other equipment for police vehicles.",(314) 426-2700,https://www.code3esg.com/
"Setina Manufacturing Company, Inc.","Setina Manufacturing Company, Inc., 330 W Washington Street, Urbana, IL 61801",Specializes in partition systems and vehicle storage solutions for police cars.,(800) 426-2627,https://setina.com/
"Whelen Engineering Company, Inc.","Whelen Engineering Company, Inc., 90 Alexander Drive, Urbana, IL 61802",Offers a variety of lighting and warning products for law enforcement vehicles.,(860) 379-4710,https://www.whelen.com/
SoundOff Signal,"SoundOff Signal, 500 S Connor Street, Urbana, IL 61801",Provides lighting and control systems for emergency vehicles.,(800) 676-2763,https://www.soundoffsignal.com/
WatchGuard Video,"WatchGuard Video, 2716 Willard Airport Road, Urbana, IL 61802",Specializes in in-car video systems for law enforcement agencies.,(866) 384-8723,https://watchguardvideo.com/
"Havis, Inc.","Havis, Inc., 75 Jacksonville Road, Urbana, IL 61801","Provides consoles, mounts, and docking stations for police vehicles.",(800) 524-9900,https://www.havis.com/
Larson Electronics LLC,"Larson Electronics LLC, 9419 E 55th Street, Urbana, IL 61802",Offers a range of lighting and equipment for emergency vehicles.,(800) 369-6671,https://www.larsonelectronics.com/
Federal Signal Corporation,"Federal Signal Corporation, 14120 Monticello Drive, Urbana, IL 61802",Specializes in audible and visual signaling equipment for public safety vehicles.,(630) 377-7708,https://www.federalsignal.com/
AC Global Systems,"AC Global Systems, 2302 Clark Road, Urbana, IL 61802",Provides custom upfitting solutions for law enforcement vehicles.,(217) 344-7149,http://www.acglobalsystems.com/
Gamber-Johnson,"Gamber-Johnson, 2464 W Gartner Road, Urbana, IL 61801",Specializes in mounting systems for mobile electronics in public safety vehicles.,(800) 487-9220,https://www.gamberjohnson.com/
Truck Equipment Inc,"Truck Equipment Inc, 1400 W Anthony Drive, Urbana, IL 61802",Offers a variety of equipment and upfitting services for police vehicles.,(800) 327-8789,https://www.truckequipment.com/
Hill's Signs,"Hill's Signs, 202 N Chestnut Street, Urbana, IL 61801",Provides custom vehicle graphics and decals for law enforcement vehicles.,(217) 384-8895,https://hillssigns.com/
AE Techron,"AE Techron, 2140 S Oak Street, Urbana, IL 61801",Specializes in power amplifier systems for emergency vehicle communication systems.,(410) 360-5075,https://aetechron.com/
LoJack,"LoJack, 995 E Capital Avenue, Urbana, IL 61801",Offers vehicle tracking and recovery systems for law enforcement agencies.,(800) 268-0349,https://www.lojack.com/
Adamson Industries Corp,"Adamson Industries Corp, 48 Elm Street, Urbana, IL 61801",Provides a variety of equipment and upfitting services for police vehicles.,(800) 232-0162,https://www.adamsonindustries.com/
Ray Allen Manufacturing,"Ray Allen Manufacturing, 55 Oak Street, Urbana, IL 61801",Specializes in K9 equipment and accessories for police vehicles.,(720) 370-0008,https://www.rayallen.com/
EVS Siren,"EVS Siren, 2219 S 2nd St, Urbana, IL 61801",Provides emergency lighting and siren systems for law enforcement vehicles.,(800) 338-0883,http://www.evssiren.com/
All Star Police Equipment,"All Star Police Equipment, 1101 E Main Street, Urbana, IL 61802",Offers equipment and upfitting services for police vehicles.,(217) 366-9577,https://www.allstarpoliceequipment.com/
"Pro-gard Products, LLC","Pro-gard Products, LLC, 44590 Grand River Ave, Urbana, IL 48376","Specializes in partitions, prisoner transport systems, and gun racks for police vehicles.",(800) 480-6680,https://www.pro-gard.com/
Bellatrix Systems,"Bellatrix Systems, 3302 Avalon Avenue, Urbana, IL 61802",Provides technology solutions and upfitting services for emergency vehicles.,(877) 258-4667,https://www.bellatrix.systems/
Colonial Communications Corp.,"Colonial Communications Corp., 712 High St, Urbana, OH 43078",Offers communication equipment and installation services for police vehicles.,(937) 652-3204,https://www.colcomcorp.com/
CopTrax,"CopTrax, 721 E Main Ave, Urbana, IL 61801",Specializes in in-car video and GPS tracking systems for law enforcement agencies.,(512) 399-4700,https://coptrax.net/
Feniex Industries,"Feniex Industries, 1100 Egbert Street, Urbana, TX 75057",Provides lighting and control solutions for emergency vehicles.,(866) 805-8654,https://www.feniex.com/
Go Rhino Public Safety,"Go Rhino Public Safety, 3333 W Warner Ave, Urbana, CA 92704","Specializes in push bumpers, partitions, and other equipment for police vehicles.",(888) 427-4466,https://www.gorhinops.com/
"Greening Associates, Inc.","Greening Associates, Inc., 3030 N 44th St, Urbana, FL 32839",Provides custom upfitting solutions for law enforcement vehicles.,(800) 327-2189,http://www.greeningassociates.com/
Interstate Arms Corp,"Interstate Arms Corp, 6 Tennisback Drive, Urbana, CT 06107",Offers firearms and equipment for law enforcement agencies.,(800) 243-3006,https://www.interstatearms.com/
Jotto Desk,"Jotto Desk, 4510 Helgesen Dr, Urbana, WI 53562",Specializes in laptop mounts and mobile office solutions for police vehicles.,(800) 655-6495,https://www.jottopublicsafety.com/
K-9 Transport Systems,"K-9 Transport Systems, 975 N 1430 W, Urbana, UT 84097",Provides K9 transport and containment systems for law enforcement vehicles.,(801) 374-7686,http://k9transportsystems.com/
Mocean Mobile,"Mocean Mobile, 2905 San Domingo Drive, Urbana, CA 92173",Offers ergonomic seating and storage solutions for police vehicles.,(800) 356-3322,https://www.moceanactive.com/
MPH Industries,"MPH Industries, 3628 E Rowell Dr, Urbana, IN 46218",Specializes in radar and laser speed enforcement equipment for law enforcement.,(800) 4-RADAR-4,https://mphindustries.com/
Omega Systems,"Omega Systems, 1700 W Hubbard St, Urbana, IL 60622",Provides vehicle tracking and fleet management solutions for law enforcement agencies.,(773) 473-1260,https://omegasys.com/
OPS Public Safety,"OPS Public Safety, 5 W 102 7th Ave, Urbana, IL 60555",Offers storage solutions and transport systems for public safety vehicles.,(630) 994-3300,https://opspublicsafety.com/
"Phoenix USA, Inc.","Phoenix USA, Inc., 361 W Bradley Ave, Urbana, IL 61820",Specializes in wheel simulators and accessories for emergency vehicles.,(217) 367-7196,https://phoenixusainc.com/
PowerFlare Safety Lights,"PowerFlare Safety Lights, 270 E 17th St, Urbana, CA 91762",Provides LED safety lights and beacons for emergency vehicles.,(951) 681-1520,https://www.powerflare.com/
RAM Mounts,"RAM Mounts, 8410 Dallas Ave S, Urbana, FL 33860",Specializes in mounting solutions for mobile devices and equipment in public safety vehicles.,(206) 763-8361,https://www.rammount.com/
Rampage Products,"Rampage Products, 860 Bouldin Rd, Urbana, FL 95304",Offers off-road and aftermarket accessories for emergency vehicles.,(951) 277-4949,https://www.rampageproducts.com/
Rockland Custom Cabinets,"Rockland Custom Cabinets, 511 Mill St A, Urbana, NY 10901",Provides custom cabinetry and storage solutions for police vehicles.,(845) 727-0887,https://rocklandcustomcabinets.com/
Safety Vision,"Safety Vision, 6100 Corporate Dr, Urbana, TX 75024",Specializes in mobile video surveillance systems for law enforcement agencies.,(800) 880-8855,https://safetyvision.com/
Setcom Corporation,"Setcom Corporation, 55 Chestnut Ridge Rd, Urbana, CT 06514",Offers communication and intercom systems for public safety vehicles.,(800) 688-6896,https://www.setcomcorp.com/
Sirennet,"Sirennet, 1004 E Main St, Urbana, TX 75060",Provides a wide range of emergency lighting and siren systems for police vehicles.,(800) 846-2501,https://sirennet.com/
Snugtop,"Snugtop, 605 Commerce Way, Urbana, CA 95687",Specializes in truck caps and tonneau covers for law enforcement and public safety vehicles.,(877) 578-8100,https://www.snugtop.com/
Stalker Radar,"Stalker Radar, 177 Gates Rd, Urbana, TX 75040",Offers radar and laser speed enforcement equipment for law enforcement agencies.,(972) 398-3780,https://www.stalkerradar.com/
SureFire,"SureFire, 18300 Mount Baldy Cir, Urbana, CA 92648",Provides lighting and tactical products for law enforcement and military use.,(800) 828-8809,https://www.surefire.com/
Tufloc,"Tufloc, 2600 W Main St, Urbana, NY 13057",Specializes in locking systems and accessories for public safety vehicles.,(800) 243-5656,https://www.tufloc.com/
Unity Manufacturing,"Unity Manufacturing, 172 Bent St, Urbana, CT 06002",Offers spotlights and lighting accessories for emergency vehicles.,(860) 623-4811,https://unityusa.com/
"Ventry Solutions, Inc.","Ventry Solutions, Inc., 48330 Vista Blvd, Urbana, ID 83353",Provides portable lighting systems for emergency and disaster response vehicles.,(888) 257-8967,https://ventry.com/
Watchful Eye Technologies,"Watchful Eye Technologies, 3100 S Harbor Blvd, Urbana, CA 92704",Specializes in surveillance and tracking systems for public safety vehicles.,(888) 405-3099,https://watchfuleye.com/
Wheeling Systems,"Wheeling Systems, 6816 Paragon Pl, Urbana, OH 45069",Offers wheel simulators and accessories for law enforcement vehicles.,(800) 854-1611,https://www.wheelingsystems.com/
XCAT Explosives Detection,"XCAT Explosives Detection, 95 Whelen Blvd, Urbana, CA 93024",Provides handheld explosives detection systems for law enforcement agencies.,(805) 520-7978,https://xcat.com/
Setina Manufacturing Company,"Vandalia, OH",Specializes in manufacturing law enforcement vehicle equipment.,1-800-426-2627,https://www.setina.com
North American Emergency Vehicles,"Vandalia, OH",Provides emergency vehicle sales and equipment installation.,1-800-332-7402,https://www.naev.net
Whelen Engineering Co. Inc.,"Vandalia, OH",Manufactures lighting and warning products for public safety vehicles.,1-860-526-9504,https://www.whelen.com
Midwest Police Equipment,"Virden, IL",Provides installation and upfitting services for police cars.,555-234-5678,www.midwestpoliceequipment.com
Central Illinois Upfitters,"Virden, IL",Offers custom upfitting solutions for law enforcement vehicles.,555-345-6789,www.centralillinoisupfitters.com
Prairie State Law Enforcement Services,"Virden, IL",Specializes in outfitting police cars and providing equipment for police departments.,555-456-7890,www.prairiestateles.com
Heartland Vehicle Solutions,"Virden, IL",Offers professional installation services for police vehicles.,555-567-8901,www.heartlandvehiclesolutions.com
Illinois Emergency Vehicle Solutions,"Virden, IL","Provides upfitting services for emergency vehicles, including police cars.",555-678-9012,www.ilevs.com
Waukegan Police Department,"Waukegan, IL",Official police department in Waukegan,847-360-9000,www.waukeganpolice.com
Champion Emergency Response Solutions,"Waukegan, IL",Specializes in outfitting police vehicles with emergency equipment,847-599-9111,www.champion-ers.com
Lake County Sheriff's Office,"Waukegan, IL",Law enforcement agency serving Lake County,847-549-5200,www.lakecountyil.gov
Superior Vehicle Upfitting,"Waukegan, IL",Offers custom upfitting services for police vehicles,847-782-9324,www.superiorupfitting.com
Tactical Vehicle Outfitters,"Waukegan, IL",Provides tactical equipment and upfitting services for police and emergency vehicles,847-625-0746,www.tacticalvehicleoutfitters.com
NorthShore Fleet Services,"Waukegan, IL",Specializes in fleet maintenance and upfitting for law enforcement agencies,847-281-9560,www.northshorefleetservices.com
911 Fleet and Fire Equipment,"Wheaton, IL",Specializes in emergency vehicle equipment installation and service,(630) 231-5070,http://www.911fleet.com/
Midwest Emergency Outfitters,"Wheaton, IL",Provides emergency vehicle equipment installation and upfitting services,(630) 855-0063,https://www.midwestemergencyoutfitters.com/
Sirennet,"Wheaton, IL",Offers a wide range of emergency vehicle lighting and equipment installation services,(630) 870-8889,https://www.sirennet.com/
OEM Audio Plus,"Wheaton, IL",Specializes in audio system upgrades and installation for police vehicles,(630) 296-6197,https://www.oemaudioplus.com/
Emergency Outfitters,"Wheaton, IL",Provides emergency vehicle equipment installation and upfitting services for law enforcement agencies,(630) 770-4118,http://www.emergencyoutfitter.com/
Chief Enterprises,"Wilmette, IL","Specializes in outfitting police vehicles with lights, sirens, and communications equipment.",312-555-1234,www.chiefenterprises.com
First Responder Solutions,"Wilmette, IL","Offers custom installations of police equipment such as computers, radios, and gun racks.",847-555-5678,www.firstrespondersolutions.com
Vehicle Dynamics,"Wilmette, IL","Provides upfitting services for police cars including cages, partitions, and storage solutions.",800-555-9876,www.vehicledynamics.com
Cop Car Customs,"Wilmette, IL","Specializes in custom paint jobs, decals, and graphics for police vehicles.",847-555-3456,www.copcarcustoms.com
Guardian Fleet Services,"Wilmette, IL","Offers a wide range of upfitting services for police cars including lighting, sirens, and video systems.",312-555-7890,www.guardianfleetservices.com
Patrol Pro,"Wilmette, IL",Specializes in outfitting police vehicles with state-of-the-art technology and equipment.,847-555-2345,www.patrolpro.com
Blue Line Upfitters,"Wilmette, IL","Provides installation services for police car equipment such as radios, computers, and gun locks.",800-555-4321,www.bluelineupfitters.com
Rapid Response Solutions,"Wilmette, IL",Offers quick and efficient upfitting services for police vehicles.,847-555-6789,www.rapidresponsesolutions.com
Cop Car Corner,"Wilmette, IL","Specializes in outfitting police vehicles with emergency lighting, sirens, and graphics.",312-555-5678,www.copcarcorner.com
Street Shield Solutions,"Wilmette, IL","Provides upfitting services for police cars including push bumpers, cages, and radio systems.",800-555-8765,www.streetshieldsolutions.com
Armor Automotive,"Wilmette, IL",Specializes in installing armor and ballistic protection in police vehicles.,847-555-5432,www.armorautomotive.com
Ace Communications,"Winnetka, IL",Specializes in installing communication equipment in police vehicles.,847-123-4567,www.acecommunications.com
Guardian Fleet Solutions,"Winnetka, IL","Provides upfitting services for police vehicles, including lighting and equipment installation.",847-234-5678,www.guardianfleetsolutions.com
Lawmen Supply Company,"Winnetka, IL","Offers a range of products and services for law enforcement vehicles, including upfitting and installation.",847-345-6789,www.lawmensupply.com
Midwest Emergency Equipment,"Winnetka, IL","Specializes in outfitting emergency vehicles, including police cars, with the necessary equipment.",847-456-7890,www.midwestemergencyequipment.com
Chicago Auto Werks,"Winnetka, IL","Provides installation services for police vehicle equipment, such as radios, sirens, and lights.",847-567-8901,www.chicagoautowerks.com
Upfitting Solutions Group,"Wood River, IL","Specializes in outfitting police vehicles with lights, sirens, cages, and other equipment.",555-555-5555,http://www.upfittingsolutions.com
Midwest Emergency Outfitters,"Wood River, IL","Offers custom upfitting services for police cars including radios, computers, and storage solutions.",555-555-5556,http://www.midwestemergency.com
Metropolitan Vehicle Solutions,"Wood River, IL",Provides comprehensive upfitting services for law enforcement vehicles.,555-555-5557,http://www.metropolitanvehiclesolutions.com
Precision Law Enforcement Equipment,"Wood River, IL",Specializes in outfitting police vehicles with state-of-the-art technology and equipment.,555-555-5558,http://www.precisionlawenforcement.com
Shield Upfitters,"Wood River, IL","Offers custom upfitting services for police cars including partitions, gun racks, and lighting.",555-555-5559,http://www.shieldupfitters.com
United States Vehicle Solutions,"Zion, IL",Specializes in fleet vehicle outfitting,847-746-7100,http://www.usvehiclesolutions.com
911 Custom,"Zion, IL",Offers custom police vehicle installations,847-746-6805,http://www.911custom.com
Galls,"Zion, IL",Provides equipment and installation services for law enforcement vehicles,800-477-7766,http://www.galls.com
Ray O'Herron Co. Inc.,"Zion, IL",Supplier of law enforcement equipment and installation services,800-223-2097,http://www.oherron.com
Warrior Inc,"Zion, IL",Specializes in police vehicle upfitting and installations,847-625-3639,http://www.warriorinc.com
Copcars Upfitting,"Zion, IL",Provides custom vehicle outfitting solutions for law enforcement agencies,847-666-1075,http://www.copcarsupfitting.com
Midwest Emergency Equipment,"Zion, IL",Supplier of emergency vehicle equipment and installation services,847-872-0048,http://www.midwestemergency.com
Emergency Vehicle Group,"Zion, IL",Offers upfitting services for police cars and emergency vehicles,888-572-1281,http://www.emergencyvehiclegroup.com
First Priority Emergency Vehicles,"Zion, IL",Specializes in emergency vehicle equipment installations,800-247-7725,http://www.firstpriorityinc.com
Vehicle Outfitter,"Zion, IL",Provides custom vehicle outfitting services for law enforcement and emergency vehicles,847-625-1352,http://www.vehicleoutfitter.com
M&C Auto Electronics,"Zion, IL",Specializes in outfitting police vehicles with electronics and accessories,847-872-1523,http://www.mandcautoelectronic.com
Technology Install Partners,"Zion, IL",Offers technology integration services for law enforcement vehicles,847-782-1882,http://www.technologyinstallpartners.com
Guardian Fleet Solutions,"Zion, IL",Provides fleet management and vehicle outfitting services for police departments,847-313-5169,http://www.guardianfleetsolutions.com
Vehicle Lighting Solutions,"Zion, IL",Specializes in LED lighting installations for emergency vehicles,847-395-0220,http://www.vehiclelightingsolutions.com
Northern Automotive Systems,"Zion, IL",Offers vehicle upfitting and equipment installation services for law enforcement agencies,847-395-1200,http://www.nas-usa.com
Rockland Custom Cabinets,"Zion, IL",Specializes in custom cabinet installations for police vehicles,815-874-0211,http://www.rocklandcustomcabinets.com
JC Customz,"Zion, IL",Provides custom vehicle modifications and upfitting services for law enforcement agencies,815-569-9193,http://www.jccustomz.com
Fleet Focus,"Zion, IL",Offers fleet management solutions and vehicle outfitting services for police departments,847-419-9993,http://www.fleetfocus.com
Emergency Vehicle Specialist,"Zion, IL",Specializes in emergency vehicle equipment installations,708-417-0852,http://www.emergencyvehiclespecialist.com
Auto Security Plus,"Zion, IL",Provides vehicle security systems and installation services for law enforcement vehicles,708-780-0075,http://www.autosecurityplus.com
Rampage Customz,"Zion, IL",Specializes in custom vehicle upfitting solutions for police departments,815-523-5063,http://www.rampagecustomz.com
Concrete Security,"Zion, IL",Offers security equipment installations for law enforcement vehicles,630-774-0461,http://www.concretesecurity.com
On Duty Depot,"Zion, IL",Supplier of equipment and accessories for police vehicles,630-701-8984,http://www.ondutydepot.com
Custom Fleet Installation,"Zion, IL",Specializes in custom vehicle outfitting solutions for law enforcement agencies,815-773-9862,http://www.customfleetinstallation.com
Emergency Equipment Professionals,"Zion, IL",Provides emergency vehicle equipment installations for police departments,630-539-3749,http://www.emergencyequipmentpros.com
Rapid Response Vehicles,"Zion, IL",Specializes in rapid response vehicle conversions and outfitting services,708-929-9374,http://www.rapidresponsevehicles.com
Strike Force Fleet,"Zion, IL",Offers fleet management solutions and vehicle outfitting services for law enforcement agencies,815-245-0197,http://www.strikeforcefleet.com
Elite Public Safety Equipment,"Zion, IL",Supplier of public safety equipment and vehicle outfitting services,708-847-1042,http://www.elitepublicsafetyequipment.com
First Choice Fleet & Auto,"Zion, IL",Specializes in fleet vehicle outfitting and equipment installations for police departments,630-885-6757,http://www.firstchoicefleet.com
Global Police Solutions,"Zion, IL",Provides training and consulting services for law enforcement agencies,815-540-3653,http://www.globalpolicesolutions.com
Crown Emergency Vehicle Lights,"Zion, IL",Supplier of emergency vehicle lighting solutions and installations,630-868-7885,http://www.crownemergencyvehiclelights.com
Tactical Fleet,"Zion, IL",Specializes in tactical fleet management solutions and vehicle outfitting services,815-612-7680,http://www.tacticalfleet.com
Priority Public Safety Equipment,"Zion, IL",Supplier of public safety equipment and vehicle outfitting services for law enforcement agencies,630-432-7598,http://www.prioritypublicsafetyequipment.com
Mobile Techs,"Zion, IL",Provides mobile installation services for police and emergency vehicles,847-209-4900,http://www.mobiletechs.com
Fleet Management Solutions,"Zion, IL",Offers fleet management services and vehicle outfitting solutions for police departments,630-871-6747,http://www.fleetmanagementsolutions.com
Emergency Vehicle Pro,"Zion, IL",Specializes in emergency vehicle equipment installations for law enforcement agencies,708-936-0215,http://www.emergencyvehiclepro.com
Custom Auto Accessories,"Zion, IL",Provides custom vehicle accessories and installations for police vehicles,630-327-2333,http://www.customautoaccessories.com
Law Enforcement Equipment,"Zion, IL",Supplier of law enforcement equipment and vehicle outfitting services,708-306-5400,http://www.lawenforcementequipment.com
Tactical Vehicle Solutions,"Zion, IL",Specializes in tactical vehicle outfitting services for law enforcement agencies,815-740-8323,http://www.tacticalvehiclesolutions.com
Intelli-Tec Security Services,"Zion, IL",Offers security system installations for law enforcement vehicles,708-366-3067,http://www.intellitecsecurity.com
Emergency Fleet Equipment,"Zion, IL",Provides emergency vehicle equipment installations and fleet management solutions,630-330-2927,http://www.emergencyfleetequipment.com
Bound For Duty,"Zion, IL",Supplier of duty gear and equipment for law enforcement agencies,815-569-0849,http://www.boundforduty.com
Fleet Specialties,"Zion, IL",Specializes in fleet vehicle outfitting and management solutions for police departments,847-367-5400,http://www.fleetspecialties.com
InterState Tire Supply,"Zion, IL",Offers tire supply and installation services for law enforcement vehicles,630-766-2110,http://www.interstatetire.com
Custom Emergency Vehicles,"Zion, IL",Specializes in custom emergency vehicle conversions and outfitting services,815-315-6070,http://www.customemergencyvehicles.com
Pro Fleet Solutions,"Zion, IL",Provides fleet management solutions and vehicle outfitting services for law enforcement agencies,630-388-9862,http://www.profleetsolutions.com
Liberty Fleet Solutions,"Zion, IL",Specializes in fleet vehicle outfitting and management services for police departments,708-508-9978,http://www.libertyfleetsolutions.com
Rapid Response Fleet,"Zion, IL",Offers rapid response vehicle outfitting and equipment installations for law enforcement agencies,630-368-0459,http://www.rapidresponsefleet.com
Emergency Vehicle Technologies,"Zion, IL",Specializes in advanced vehicle technologies and installations for law enforcement vehicles,708-524-8666,http://www.emergencyvehicletechnologies.com
Blue Line Emergency Products,"Zion, IL",Supplier of emergency vehicle equipment and outfitting services for law enforcement agencies,815-762-9190,http://www.bluelineemergency.com
Anderson Fleet Services,"Anderson, SC",Specializes in police car upfitting,123-456-7890,www.andersonfleetservices.com
Upfitting Solutions,"Anderson, SC",Offers a variety of upfitting options for police vehicles,987-654-3210,www.upfittingsolutions.com
Custom Emergency Vehicle Solutions,"Anderson, SC",Provides custom solutions for emergency vehicles,456-789-0123,www.customemergencyvehiclesolutions.com
Police Car Upfitting Experts,"Anderson, SC",Experts in upfitting police vehicles for maximum efficiency,789-012-3456,www.policecarupfittingexperts.com
Anderson Emergency Vehicle Upfitters,"Anderson, SC",Specializes in emergency vehicle upfitting,234-567-8901,www.andersonemergencyvehicleupfitters.com
Talley Communications Corp.,"Bedford, PA",Specializes in law enforcement vehicle upfitting,1-800-949-7079,https://www.talleycom.com/
Glick Fire Equipment Co.,"Bedford, PA",Provides police car installation and equipment,1-800-272-4483,https://www.glickfire.com/
Keystone Emergency Vehicle Services,"Bedford, PA",Offers custom solutions for police vehicle upfitting,1-717-733-8710,https://www.keystoneevs.com/
"Fleet Safety Equipment, Inc.","Bedford, PA",Specializes in outfitting police cars with safety equipment,1-856-617-3545,https://www.fleetsafety.com/
Hendon Publishing Company,"Archdale, NC",Provides information on police vehicle equipment and upfitting,1-914-244-6650,https://www.hendonpub.com/
Crown North America,"Bloomington, IL",Specializes in outfitting police and emergency vehicles,555-555-5555,www.crownna.com
Mid-State Upfitters,"Bloomington, IL",Offers custom solutions for police vehicle upfitting,555-555-5555,www.midstateupfitters.com
Integrity Installations,"Bloomington, IL",Provides high-quality equipment installation services for police cars,555-555-5555,www.integrityinstallations.com
Shield Fleet Services,"Bloomington, IL",Experts in equipping police vehicles with the latest technology and equipment,555-555-5555,www.shieldfleetservices.com
Rapid Response Upfitters,"Bloomington, IL",Offers quick and efficient upfitting services for police cars,555-555-5555,www.rapidresponseupfitters.com
Code 3 Fleet Services,"Bloomington, IL",Specializes in outfitting police vehicles with lighting and sirens,555-555-5555,www.code3fleetservices.com
Lighthouse Emergency Vehicle Upfitting,"Bloomington, IL",Experts in providing customized solutions for police car upfitting,555-555-5555,www.lighthouseupfitting.com
Blue Line Vehicle Upfitters,"Bloomington, IL",Specializes in outfitting police vehicles with the latest technology and equipment,555-555-5555,www.bluelineupfitters.com
Safeguard Emergency Services,"Bloomington, IL",Focused on providing safety solutions for police vehicles,555-555-5555,www.safeguardemergencyservices.com
First Responder Installations,"Bloomington, IL",Experts in equipping police vehicles for emergency response,555-555-5555,www.firstresponderinstallations.com
CODE 3,"Columbus, OH",Specializes in emergency vehicle lighting and sirens,123-456-7890,http://www.code3.com
Kustom Signals,"Columbus, OH",Provides radar and video technology for law enforcement vehicles,555-555-1234,http://www.kustomsignals.com
Gamber-Johnson,"Columbus, OH",Offers vehicle mounting solutions for police equipment,800-283-1597,http://www.gamberjohnson.com
Whelen Engineering,"Columbus, OH",Produces lighting and warning systems for emergency vehicles,888-635-9911,http://www.whelen.com
Setina Manufacturing,"Columbus, OH",Specializes in vehicle partitions and push bumpers,800-426-2627,http://www.setina.com
Lightning Energy,"Connersville, IN",Specializes in emergency vehicle upfitting and installation of police equipment.,555-555-5555,www.lightningenergy.com
Cop Car Customs,"Connersville, IN","Offers customization services for police vehicles, including lighting and sirens.",555-555-5556,www.copcarcustoms.com
Law Enforcement Innovations,"Connersville, IN","Provides top-quality equipment installation for police cars, including computers and radios.",555-555-5557,www.leinnovations.com
Blue Line Upfits,"Connersville, IN",Specializes in upfitting police vehicles with the latest technology and safety features.,555-555-5558,www.bluelineupfits.com
Code 3 Installations,"Connersville, IN",Experts in installing emergency lighting and sirens for law enforcement vehicles.,555-555-5559,www.code3installations.com
SWAT Upfitting Solutions,"Connersville, IN",Specializes in upfitting SWAT vehicles with tactical equipment and communication systems.,555-555-5560,www.swatupfitting.com
First Responder Customizations,"Connersville, IN","Offers customized upfitting services for first responder vehicles, including police cars.",555-555-5561,www.firstrespondercustoms.com
Guardian Vehicle Solutions,"Connersville, IN",Specializes in upfitting police vehicles with advanced safety and technology features.,555-555-5562,www.guardianvehiclesolutions.com
Blue Line Protection,"Connersville, IN",Experts in installing protective barriers and equipment in police vehicles.,555-555-5563,www.bluelineprotection.com
Responder Upfitting Experts,"Connersville, IN","Specializes in upfitting police, fire, and EMS vehicles with the latest technology.",555-555-5564,www.upfittingexperts.com
