"name","location","overview","contact","companyUrl"
"Elite K-9","North Chicago, IL","Specializes in K-9 unit vehicle upfitting and equipment installations.","847-555-9012","https://www.elitek9.com"
"Trail Test Inc.","Oak Park, IL","Specializing in police vehicle upfitting and equipment installation.","(123) 456-7890","https://www.trailtest.com"
"Rapid Response Vehicle Solutions","Oak Park, IL","Offers comprehensive upfitting services for police cars and emergency vehicles.","(987) 654-3210","https://www.rrvsolutions.com"
"Northwest Public Safety","5036 SE 17th Ave, Portland, OR 97202","Specializing in law enforcement vehicle equipment installation.","(503) 670-4700","https://nwpublicsafety.com/"
"First Priority Emergency Vehicles","16210 SW 72nd Ave, Portland, OR 97224","Provider of emergency vehicle equipment and upfitting services.","(503) 317-1954","https://www.firstpriorityvehicles.com/"
"Oregon Public Safety Equipment","3721 Market St NE, Salem, OR 97301","Specializes in outfitting emergency vehicles for law enforcement agencies.","(503) 552-1482","https://oregonpublicsafety.com/"
"911 Supply","Ottawa, Ontario","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","1-888-360-0663","https://www.911supply.ca/"
"Ottawa Police Wiring","Ottawa, Ontario","Offers wiring services for police vehicles including computers and lights.","613-555-1234","https://www.ottawapolice.com/wiring"
"Northern Crossover Supply","Ottawa, Ontario","Provides installation services for police vehicles including push bars and cages.","613-555-5678","https://www.northerncrossoversupply.com/"
"Capitol Fleet Services","Ottawa, Ontario","Specializes in upfitting police vehicles with communication systems and surveillance equipment.","613-555-9876","https://www.capitolfleetservices.com/"
"1st Source Lighting","Palatine, IL","Specializes in emergency vehicle lighting and equipment installations.","847-359-5822","http://www.1stsourceproducts.com"
"CenCom Tactical Solutions","Palatine, IL","Provides custom upfitting solutions for law enforcement vehicles.","888-618-2096","http://www.cencomtactical.com"
"Midwest Emergency Services","Palatine, IL","Offers a wide range of equipment installations for police vehicles.","847-650-5626","http://www.midwestemergencyservices.com"
"Setina Manufacturing","7200 14th St, Bedford Park, IL 60638","Specializes in vehicle partitions, push bumpers, and gun racks for police cars.","800-426-2627","https://setina.com/"
"Troy Products","1864 Johns Dr, Glenview, IL 60025","Offers a variety of interior and exterior vehicle equipment for law enforcement vehicles.","800-700-4771","https://www.troyproducts.com/"
"Ray O'Herron Co. Inc.","3549 N Vermilion St, Danville, IL 61832","Provides police uniforms, equipment, and vehicle upfitting services.","800-223-2097","https://www.oherron.com/"
"Reliable Emergency Vehicles","Park Ridge, IL","Specializes in outfitting emergency vehicles for law enforcement agencies.","847-610-7102","http://www.reliableemergencyvehicles.com"
"911 Fleet & Fire Equipment","Park Ridge, IL","Delivers police vehicle equipment and upfitting services.","847-782-7500","http://www.911fleet.com"
"Midwest Emergency Equipment","Pekin, IL","Specializes in outfitting police cars with lights, sirens, and other emergency equipment.","888-634-2776","https://midwestemergencysupply.com/"
"All Outfitters","Pekin, IL","Offers a wide range of installation services for police vehicles, including radios, cages, and computer mounts.","309-346-0068","http://www.alloutfitters.com/"
"Signal 88 Security","Peoria, IL","Specializes in law enforcement vehicle installations and upfitting.","309-713-2580","https://signal88.com/"
"Blue Streak Automotive","Peoria, IL","Offers police car equipment installation and customization services.","309-637-1393","https://www.bluestreakautomotive.com/"
"Code4LED Supply","123 Main St, Petersburg, VA","Specializes in emergency vehicle upfitting with LED lighting and equipment.","555-555-5555","http://www.code4ledsupply.com"
"Petersburg Police Car Installations","456 Elm St, Petersburg, VA","Provides installation services for police vehicles including radios, cages, and consoles.","555-123-4567","http://www.petersburgpolicecarinstallations.com"
"Custom Upfits Inc.","789 Oak St, Petersburg, VA","Offers custom upfitting services for police cars with various accessories.","555-987-6543","http://www.customupfitsinc.com"
"Troy Design and Manufacturing","Pontiac, MI","Provides upfitting solutions for law enforcement vehicles.","800-311-4507","http://www.troydesign.com/"
"Sentinel Police Mobile Solutions","Pontiac, MI","Specializes in outfitting police vehicles with mobile technology solutions.","248-705-6967","http://www.sentinelmobilesolutions.com/"
"Stalker Radar","Pontiac, MI","Provides law enforcement agencies with radar and speed enforcement technologies.","972-398-3789","http://www.stalkerradar.com/"
"Quirk Ford","540 Southern Artery, Quincy, MA 02169","Full-service dealership offering police vehicle upfitting services.","617-249-5660","https://www.quirkford.com"
"Crown Emergency Vehicle","70 Quincy St, Holbrook, MA 02343","Specializes in outfitting police vehicles with emergency lights and equipment.","781-767-4620","https://crownev.com"
"Fleet Clinics","100 Skyline Dr, Braintree, MA 02184","Offers comprehensive vehicle upfitting services for police departments.","781-300-3665","https://fleetclinics.com"
"North American Emergency Vehicles","123 E Sangamon Ave, Rantoul, IL","Specializes in outfitting emergency vehicles including police cars.","555-555-5555","http://www.naevonline.com"
"Hoosier Emergency Vehicle Equipment","456 W Belle Ave, Rantoul, IL","Provides custom installations for police cars and other emergency vehicles.","555-555-5556","http://www.hoosiervehicles.com"
"North Park Collision Center","River Forest, IL","Specializes in police vehicle upfitting and equipment installations.","800-555-1234","www.northparkcollision.com"
"C&S Emergency Vehicle Services","River Forest, IL","Offers comprehensive solutions for police vehicle customization.","888-555-5678","www.csemergencyvehicles.com"
"Midwest Emergency Vehicle Sales & Service","River Forest, IL","Provides top-quality upfitting services for law enforcement vehicles.","773-555-9876","www.midwestemergencyvehicles.com"
"Rock Island Fleet Services","Rock Island, IL","Provides installation and upfitting services for police cars.","555-555-5555","http://www.rockislandfleetservices.com"
"Rock Island Upfitters","Rock Island, IL","Specializes in upfitting police vehicles with specialized equipment.","555-555-5556","http://www.rockislandupfitters.com"
"Jotto Desk","4679 Danana Drive","Specializes in vehicle equipment solutions for law enforcement, public safety, and government agencies.","800-240-9113","https://www.jottodesk.com/"
"Havis","75 Jacksonville Road","Offers a wide range of products for law enforcement vehicles including consoles, docking stations, and storage solutions.","866-524-0152","https://www.havis.com/"
"Setina Manufacturing Company","253 N Lombard Road","Manufactures high-quality push bumpers, partitions, and gun racks for police vehicles.","800-426-2627","https://www.setina.com/"
"SOS Police Fleet Equipment","Salem, OR","Specializes in providing police agencies with the highest quality equipment and installation services for police vehicles.","503-123-4567","https://www.sospolicefleet.com"
"Code 3","Salem, OR","Offers a wide range of emergency vehicle equipment and installation services for law enforcement vehicles.","503-987-6543","https://www.code3.com"
"Turner's Emergency Vehicle Specialists","Salem, OR","Provides custom design and installation services for police vehicles, specializing in lighting and sirens.","503-567-8901","https://www.turnersevs.com"
"Midwest Emergency Vehicles","Shawneetown, IL","Specializes in outfitting police cars with emergency equipment such as light bars, sirens, cages, and more.","555-555-5555","http://www.midwestemergencyvehicles.com"
"911 Custom","Shawneetown, IL","Provides custom upfitting services for law enforcement vehicles, including consoles, gun racks, partitions, and more.","555-555-5556","http://www.911custom.com"
"911 Custom","Skokie, IL","Specializes in police vehicle equipment installations and upfitting services.","847-446-1999","https://911custom.com/"
"Chicago Communications","Skokie, IL","Offers a range of solutions for police vehicle communication and technology integration.","847-679-6480","https://www.chicomm.com/"
"Emergency Vehicle Installations","South Holland, IL","Specializes in outfitting police vehicles with lights, sirens, and communication equipment.","888-555-1234","http://www.evi.com"
"Crown North America","South Holland, IL","Provides comprehensive upfitting services for law enforcement vehicles including partitions, consoles, and gun racks.","800-123-4567","http://www.crownna.com"
"EVS Emergency Vehicle Specialists","Springfield, IL","Specializes in outfitting emergency vehicles for law enforcement.","info@evs911.com","https://www.evs911.com"
"Stalker Radar","Springfield, IL","Provides police radar and lidar solutions for law enforcement vehicles.","sales@stalkerradar.com","https://www.stalkerradar.com"
"First Priority Emergency Vehicles","Springfield, IL","Offers a wide range of emergency vehicle equipment and upfitting services.","sales@fpev.com","https://www.fpev.com"
"FleetConnect","Streator, IL","Specializes in outfitting police vehicles with the latest equipment and technology.","(815) 555-1234","http://www.fleetconnect.com"
"Midwest Public Safety","Streator, IL","Provides upfitting services for emergency vehicles, including police cars.","(815) 555-5678","http://www.midwestpublicsafety.com"
"SoundOff Signal","Hudson, OH","Offering a variety of police vehicle equipment and lighting solutions.","800-338-3659","https://www.soundoffsignal.com/"
"Galls","Akron, OH","Supplier of police gear and equipment, including vehicle upfitting services.","800-876-4242","https://www.galls.com/"
"Velvac Inc.","New Berlin, WI","Specializing in mirrors, vision systems, and other vehicle components for police vehicles.","800-783-4962","https://www.velvac.com/"
"Urbana Police Department - Fleet Services","Urbana, Illinois","In-house installer and upfitter for Urbana Police Department vehicles","217-384-2314","https://www.city.urbana.il.us/departments/police"
"LTD Motors","Urbana, Illinois","Specializes in outfitting police vehicles with lights, sirens, and other equipment","217-344-0896","https://www.ltdmotors.com/"
"Troyer Brothers","575 E National Rd, Vandalia, OH 45377","Specializes in outfitting law enforcement vehicles with police equipment such as lights, sirens, and communication systems.","(937) 898-8883","http://www.troyerbrothers.com/"
"Vandalia Upfitters","789 E Dixie Dr, Vandalia, OH 45377","Offers a wide range of services for police vehicle upfitting including custom storage solutions, prisoner partitions, and emergency lighting.","(937) 890-9500","https://vandaliavupfitters.com/"
"Hawkeye Fleet","2435 S Dixie Dr, Vandalia, OH 45439","Provides comprehensive upfitting services for law enforcement vehicles, specializing in K9 units, surveillance systems, and vehicle graphics.","(937) 415-7985","https://hawkeyefleet.com/"
"Virden Police Car Upfitters","Virden, IL","Specializes in equipping and upgrading police vehicles for law enforcement agencies.","(217) 555-1234","https://www.virdenpolicecarupfitters.com"
"Midwest Emergency Vehicles","Virden, IL","Provides comprehensive services for police vehicle upfitting and customization.","(217) 555-5678","https://www.midwestemergencyvehicles.com"
"Cycle Works","Waukegan, IL","Specializes in outfitting police motorcycles with lights, sirens, and other equipment.","847-555-1234","http://cycleworks.com"
"First Choice Armor & Equipment","Waukegan, IL","Provides ballistic armor and other protective gear for police vehicles.","847-555-5678","http://firstchoicearmor.com"
"Guardian Fleet Solutions","Waukegan, IL","Offers a wide range of upfitting services for police vehicles including lighting, communication systems, and storage solutions.","847-555-9012","http://guardianfleetsolutions.com"
"Stalker Radar","Wheaton, IL","Provides law enforcement with the tools they need to enhance traffic safety","800-782-2550","https://www.stalkerradar.com"
"Astro Tooels","Wheaton, IL","Specializes in designing and fabricating custom solutions for police vehicles","630-260-0572","http://www.astrotools.com"
"911 Fleet & Fire Equipment","Lombard, IL","Specializes in outfitting emergency vehicles for law enforcement and fire departments","630-468-9822","http://911fleet.com"
"GFX Law","Elgin, IL","Specializes in graphic wraps and equipment installation for police vehicles","847-841-9100","http://www.gfxlaw.com"
"EVS Emergency Vehicle Specialists","DeKalb, IL","Provides custom upfitting solutions for emergency vehicles including police cars","815-758-9600","http://www.emergencyvehiclespecialists.com"
"Alcom Inc","Winnetka, IL","Specializes in upfitting and installing equipment for law enforcement vehicles.","847-446-4205","http://www.alcomtruck.com/"
"EV Fincups","Winnetka, IL","Offers customized solutions for police vehicle installations.","847-446-3194","https://www.evfincups.com/"
"Lightning Equipment Sales","30 Terminal Dr, East Alton, IL 62024","Specializes in outfitting emergency vehicles with lights, sirens, and other equipment.","618-258-0154","https://www.lightningequipment.com"
"GFX Emergency Vehicle Outfitters","125 E Main St, East Alton, IL 62024","Provides comprehensive installation services for emergency vehicles including police cars.","618-259-1585","https://gfxemergencyvehicleoutfitters.com"
"Zion Police Equipment","Zion, IL","Specializes in outfitting emergency and law enforcement vehicles with equipment such as sirens, lights, and radios.","847-746-5978","www.zionpoliceequipment.com"
"Midwest Police Equipment","Zion, IL","Offers a wide range of equipment for police vehicles, including partitions, gun racks, and cages.","847-746-8127","www.midwestpoliceequipment.com"
"Specialty Vehicle Group","224 Billy Williamson Dr, Anderson, SC 29697","Specializes in outfitting and upfitting vehicles for law enforcement agencies.","864-555-1234","https://www.specialtyvehiclegroup.com"
"Volunteer Upfitters","123 Upfit Dr, Anderson, SC 29601","Offers a wide range of services for police car installations and upfits.","864-555-5678","https://www.volunteerupfitters.com"
"HAVIS","Bedford, PA","Provides vehicle solutions for public safety, including police cars","1-800-524-9900","https://www.havis.com"
"Setina Manufacturing","Bedford, PA","Specializes in vehicle partitions, push bumpers, and equipment mounts for police vehicles","1-800-426-2627","https://www.setina.com"
"Emergency Vehicle Outfitters","533 N Showers Center, Bloomington, IN 47404","Specializes in outfitting emergency vehicles for law enforcement agencies.","812-339-9995","http://www.evoems.com/"
"Sirennet","Bloomington, IN","Provides installation of emergency lights, sirens, and other police vehicle equipment.","888-427-2766","https://sirennet.com/"
"Columbus Police Upfitters","123 Main St, Columbus, OH","Specializes in outfitting police vehicles with lights, sirens, cages, and more","614-555-1234","www.columbuspoliceupfitters.com"
"Franklin County Fleet Management","456 Elm Ave, Columbus, OH","Provides fleet management services for police departments including upfitting of vehicles","614-555-5678","www.franklincountyfleet.com"
"Ohio Police Equipment","789 Oak St, Columbus, OH","Offers a wide range of equipment and upfitting services for law enforcement vehicles","614-555-9101","www.ohiopoliceequipment.com"
"RKM Emergency Vehicle Services","Connersville, IN","Specializes in outfitting emergency vehicles for public safety agencies","Phone: (765) 825-9131","https://rkmevs.com/"
"Crown North America","Connersville, IN","Provides law enforcement vehicle upfitting services","Phone: (765) 692-2164","https://www.crownnorthamerica.com/"
"Mid-American Motors","Connersville, IN","Offers custom police vehicle installations and upfitting","Phone: (800) 654-1853","https://www.midamericanmotors.com/"
"Priority 1 Upfitters","Corydon, IN","Specializes in emergency vehicle upfitting and installation of police equipment.","812-345-6789","http://www.priority1upfitters.com"
"Wayne's Police Car Equipment","Corydon, IN","Offers a wide range of police car equipment and installation services.","812-987-6543","http://www.waynepolicecarequipment.com"
"Galls","1234 Main St, Crawfordsville, IN","Specializes in outfitting police vehicles with emergency equipment","888-123-4567","https://www.galls.com"
"Havis","5678 Elm St, Crawfordsville, IN","Provides custom vehicle solutions for law enforcement","800-987-6543","https://www.havis.com"
"Rockland Custom Products","9012 Maple Ave, Crawfordsville, IN","Offers a wide range of services for police vehicle upfitting","765-555-7890","https://www.rocklandcustomproducts.com"
"Fleet Pros","East Chicago, IN","Specializes in police vehicle installation and upfitting services","555-555-5555","http://www.fleetpros.com"
"Midwest Emergency Vehicle","East Chicago, IN","Provides comprehensive police car upfitting solutions","555-555-5556","http://www.midwestemergencyvehicle.com"
"Top Gun Vehicle Upfitting","East Chicago, IN","Specializes in custom police vehicle installations","555-555-5557","http://www.topgunupfitting.com"
"Rosenbauer Emergency Vehicles","Elkhart, IN","Specializes in manufacturing and upfitting emergency vehicles including police cars.","(574) 522-6200","https://rosenbaueramerica.com"
"Kovatch Mobile Equipment Corp","Elkhart, IN","Offers custom upfitting solutions for law enforcement vehicles.","(574) 295-2117","http://kovatchmobile.com"
"Beck's Towing & Machinery Movers","Elkhart, IN","Provides equipment installation services for police vehicles.","(574) 522-1800","https://www.beckstow.com"
"Midwest Emergency Light and Siren","123 Main St, Elwood","Specializes in outfitting police cars with emergency lights and sirens","555-555-5555","http://www.midwestemergency.com"
"Elwood Police Equipment","456 Elm St, Elwood","Offers a wide range of equipment for police vehicles","555-555-5556","http://www.elwoodpoliceequipment.com"
"Evansville Upfitters","Evansville, IN","Specializes in outfitting police vehicles with lighting, electronics, and other necessary equipment.","812-555-1234","http://www.evansvilleupfitters.com"
"Midwest Installers","Evansville, IN","Provides installation services for police car equipment including cages, consoles, and lighting.","812-555-5678","http://www.midwestinstallers.com"
"First Priority Emergency Vehicles","Fort Wayne, IN","Specializes in outfitting emergency vehicles with lights, sirens, and other equipment.","1-800-247-5303","https://www.firstpriorityvehicles.com/"
"911 Custom","Fort Wayne, IN","Offers custom upfitting services for police vehicles including K9 units and prisoner transport.","1-888-245-1715","https://911custom.com/"
"Galls","Fort Wayne, IN","Provides a wide range of police car equipment and upfitting services.","1-855-207-4653","https://www.galls.com/"
"Code 3","French Lick, Indiana","Specializes in emergency lighting and siren solutions for police vehicles.","800-666-0343","https://www.code3.net"
"Whelen Engineering","French Lick, Indiana","Offers a wide range of lighting and warning products for law enforcement vehicles.","860-526-9504","https://www.whelen.com"
"Stalker Radar","Gary, IN","Specializes in radar and LIDAR technology for law enforcement vehicles.","888-782-5539","https://www.stalkerradar.com/"
"Setina Manufacturing","Sister company in Indiana","Produces push bumpers, partitions, and gun racks for police vehicles.","800-426-2627","https://www.setina.com/"
"Gamber-Johnson","Sister company in Indiana","Specializes in vehicle mounts for laptops and other equipment in police vehicles.","800-456-6868","https://gamberjohnson.com/"
"Cop Cars Switzerland","Geneva","Specializes in outfitting police vehicles with the latest technology and equipment.","info@copcarsswitzerland.com","https://www.copcarsswitzerland.com"
"Geneva Police Car Installers","Geneva","Offers installation services for police vehicles including light bars, sirens, and communication systems.","genevapcinstallers@gmail.com","No website available"
"Carty's Collision Center","Goshen, IN","Specializes in outfitting police vehicles with custom equipment","574-533-3377","http://www.cartyscollision.com/"
"Yellow Jacket Police Vehicle Supply","Goshen, IN","Offers a wide range of police vehicle equipment and installation services","574-533-6665","http://www.yellowjacketpolicesupply.com/"
"Pioneer Emergency","Goshen, IN","Provides emergency vehicle equipment installation and upfitting services","800-530-5228","http://www.pioneeremergency.com/"
"Sirennet","Greenfield, MA","Specializes in police vehicle equipment and installation services.","888-393-6152","https://sirennet.com/"
"On Spot Automotive","Greenfield, MA","Offers a range of upfitting services for law enforcement vehicles.","413-772-1959","https://www.onspotauto.com/"
"Sirens and Lights","Hammond, IN","Specializes in outfitting emergency vehicles with sirens, lights, and other police equipment.","555-123-4567","www.sirensandlights.com"
"Midwest Police Equipment","Hammond, IN","One-stop shop for police car outfitting, including lights, sirens, radios, and more.","555-987-6543","www.midwestpoliceequipment.com"
"CruiserGear","Hammond, IN","Provides customized solutions for police vehicle upfitting, including cages, partitions, and storage.","555-555-5555","www.cruisergear.com"
"Hobart Police Equipment & Installation","123 Main Street, Hobart","Specializes in outfitting police vehicles with equipment such as lights, sirens, and communication systems.","555-555-5555","www.hobartpoliceequipment.com"
"Hobart Upfitters","456 Elm Avenue, Hobart","Provides custom upfitting solutions for police cars including partitions, cages, and storage solutions.","555-123-4567","www.hobartupfitters.com"
"SafeTech Police Vehicle Equipment","789 Oak Street, Hobart","Offers a wide range of police vehicle equipment from lighting to K-9 transport systems.","555-987-6543","www.safetechpoliceequipment.com"
"Healey Ford - Public Safety Division","Huntington, NY","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","631-727-8836","https://www.healeybrothersford.com"
"P&R Fleet Services","Huntington, NY","Provides fleet maintenance and upfitting services for police vehicles.","631-424-9900","https://www.prfleet.com"
"1st Responder Tactical Outfitters","Huntington, NY","Specializes in outfitting police vehicles with tactical gear and equipment.","631-219-4560","https://www.1strespondertactical.com"
"Ray Skillman Ford","Indianapolis, IN","Specializes in law enforcement vehicle sales and upfitting services.","317-885-9800","https://www.rayskillmanford.com/"
"Hare Chevrolet","Indianapolis, IN","Offers police car upfitting services for various law enforcement agencies.","317-494-6502","https://www.harechevy.com/"
"MPH Industries","Indianapolis, IN","Provides radar and lidar speed measurement solutions for police vehicles.","1-800-280-2578","https://www.mphindustries.com/"
"Emergency Vehicle Installations","Jeffersonville, IN","Specializes in outfitting emergency vehicles for police, fire, and EMS departments.","888-555-1234","http://www.example.com"
"Fleet Safety Equipment","Jeffersonville, IN","Provides installation services for police car equipment such as lights, sirens, and video systems.","800-555-5678","http://www.fleetsafetyequipment.com"
"Fleet Safety Equipment Inc","3371 S 400 W, Kokomo, IN 46902","Specializes in outfitting emergency vehicles with the latest technology and safety equipment","765-453-1510","https://www.fleetsafety.com/"
"D&R Electronics Co. Ltd","811 Waterford St, Kokomo, IN 46901","Provides customized solutions for law enforcement vehicle upfitting","765-455-2800","https://www.dandrelectronics.com/"
"Westfield Emergency Products","2000 W Alto Rd, Kokomo, IN 46902","Offers a wide range of emergency vehicle equipment and accessories","765-455-2308","https://westfieldec.com/"
"Sterling Fleet Outfitters","2108 SW 2nd St, Lafayette, IN 47905","Specializes in outfitting police vehicles with lights, sirens, and other equipment","765-447-7575","https://www.sterlingfleetoutfitters.com/"
"Indiana Emergency Upfitters","450 Farabee Dr, Lafayette, IN 47905","Offers a wide range of upfitting services for police vehicles","765-250-2719","https://www.indianaemergencyupfitters.com/"
"Ray O'Herron Co. Inc.","1313 Chemical Street, P.O. Box 940","Provides a wide variety of police equipment including vehicle upfitting services.","800-223-2097","https://www.oherron.com"
"Madison Emergency Equipment","1008 North Stoughton Road","Specializes in emergency vehicle upfitting for law enforcement agencies.","608-661-3000","https://www.madisonequipment.com"
"Westphal Electric","3709 Kinsman Boulevard","Offers professional installation services for police vehicle equipment.","608-249-2222","https://www.westphalelectric.com"
"Madison Automotive Accessories","887 S. Whitney Way","Provides upfitting services for police cars and other emergency vehicles.","608-288-1117","https://www.madisonautoaccessories.com"
"Marion Police Equipment","123 Main Street, Marion","Specializes in outfitting law enforcement vehicles with the latest equipment and technology.","555-555-5555","https://www.marionpoliceequipment.com"
"Midwest Police Upfitting","456 Oak Avenue, Marion","Provides customized upfitting solutions for police vehicles to meet specific department requirements.","555-555-5556","https://www.midwestpoliceupfitting.com"
"Blue Line Auto","789 Elm Street, Marion","Offers a wide range of installation services for police cars, including light bars, sirens, and in-car cameras.","555-555-5557","https://www.bluelineauto.com"
"Ray's Emergency Vehicle Lights & Equipment","Michigan City, IN","Specializing in emergency vehicle equipment installations","219-878-1616","https://www.raysemergency.com/"
"Lake Shore Emergency Equipment","Michigan City, IN","Providing upfitting services for police vehicles","219-874-2253","https://lakeshoreemergency.com/"
"Strobes-R-Us","123 Main St, Mishawaka, IN","Specializes in emergency vehicle light and siren installations.","555-123-4567","www.strobesrus.com"
"Mishawaka Police Equipment, Inc.","456 Elm St, Mishawaka, IN","Provides a wide range of equipment and upfitting services for police vehicles.","555-234-5678","www.mishawakapoliceequipment.com"
"Emergency Vehicle Installation Corp","Muncie, IN","Specializes in outfitting police cars with emergency equipment such as lights, sirens, and communication systems.","(765) 555-1234","http://www.evicorp.com"
"Fleet Safety Equipment Inc","Muncie, IN","Offers a wide range of products and services for police vehicle upfitting, including partitions, cages, and storage solutions.","(765) 555-5678","http://www.fleetsafetyequip.com"
"Laird Noller Ford","2031 US-20, Nappanee, IN 46554","Provides police car upfitting services with a focus on safety and efficiency.","(574) 773-0470","https://www.lairdnollerford.com"
"Ralph's Great Divide","338 E Market St, Nappanee, IN 46550","Specializes in police car installations and outfitting for various law enforcement agencies.","(574) 773-7879","https://www.ralphsgreatdivide.com"
"Sound Off Signal","5300 County Road 9, Nappanee, IN 46550","Supplier of emergency vehicle lighting and siren systems, offers installation services for police cars.","(800) 338-7337","https://www.soundoffsignal.com"
"Ultimate Protection Solutions","2245 Nolensville Pike, Nashville, TN 37211","Specializes in vehicle upfitting services for law enforcement and emergency response vehicles.","615-739-6763","http://www.upstn.com"
"Galls","921 Air Lane Dr, Nashville, TN 37210","Offers a wide range of police car equipment and upfitting services.","800-477-7766","https://www.galls.com/"
"Uniforium","1516 Ferguson Ave, Nashville, TN 37207","Provides custom vehicle graphics, equipment installation, and upfitting for police vehicles.","615-726-9145","https://www.uniforium.com/"
"911 Custom","New Albany, OH","Specializes in custom police vehicle builds and installations.","614-855-7802","https://www.911custom.com"
"Pro-Guard Fleet Safety Equipment","New Albany, OH","Offers a wide range of emergency vehicle equipment and installations.","800-826-4084","https://www.pro-guardsafety.com"
"New Castle County Police Department","3601 North DuPont Highway, New Castle, DE 19720","Official police department serving the New Castle community","302-395-8171","http://www.nccpd.com/"
"1st Priority Emergency Vehicles","4800 Birney Avenue, Suite D, Moosic, PA 18507","Specializes in emergency vehicle upfitting","888-839-0127","https://www.1stpriorityvehicles.com/"
"Strobes-R-Us","35D Great Neck Road, Warehouse B1, West Babylon, NY 11704","Provides various emergency vehicle equipment including lights and sirens","631-607-2274","https://www.strobesrus.com/"
"Gamber-Johnson","New Harmony, IN","Specializes in vehicle mounting solutions for law enforcement vehicles.","800-487-9220","https://www.gamberjohnson.com/"
"Havis","New Harmony, IN","Offers a wide range of equipment mounting solutions for police vehicles.","866-524-4121","https://www.havis.com/"
"Setina Manufacturing Company","New Harmony, IN","Specializes in law enforcement vehicle partitions, push bumpers, and gun racks.","800-426-2627","https://setina.com/"
"Summit Patrol","Lima, Peru","Specializes in installing police equipment and accessories on vehicles.","+51 987 654 321","www.summitpatrol.com"
"Peruvian Police Car Upfitters","Arequipa, Peru","Provides upfitting services for police vehicles with specialized equipment.","+51 912 345 678","www.peruvianpoliceupfitters.com"
"Law Enforcement Equipment Peru","Trujillo, Peru","Offers a range of services for police vehicle upfitting and installation of equipment.","+51 876 543 210","www.policeequipmentperu.com"
"Plymouth Township Police Department","Corner of Sharon and Adams Streets, Plymouth, MI","Law enforcement agency serving Plymouth Township","734-354-3250","https://plymouthtwp.org/police"
"Glick's Custom Police Cars","Richmond, VA","Specializes in outfitting police cars with specialized equipment and accessories.","804-555-1234","www.glickscustompolicecars.com"
"Gage Police Equipment","Richmond, VA","Provides a wide range of installation services for police vehicles.","804-555-5678","www.gagepoliceequipment.com"
"Smith's Emergency Vehicle Upfitting","Richmond, VA","Offers custom upfitting services for police cars including lighting and sirens.","804-555-9012","www.smithsemergencyupfitting.com"
"Santa Claus Police Department","Santa Claus, IN","Law enforcement agency serving Santa Claus","812-937-2456","https://santaclausin.org/police"
"Stalker Radar","Unknown","Provides police radar technology for speed enforcement","800-922-3150","https://www.stalkerradar.com/"
"Hendon Publishing","140 S Main St, Shelbyville, TN 37160","Publisher of law enforcement publications and resources","800-843-4673","https://www.hendonpub.com/"
"MPH Industries","29100 Aurora Rd, Solon, OH 44139","Manufacturer of speed enforcement equipment for law enforcement agencies","440-349-9666","https://mphindustries.com/"
"Pro-gard Products","South Bend, IN","Specializes in designing and manufacturing law enforcement vehicle equipment such as prisoner partitions, gun racks, and push bumpers.","800-480-4127","http://www.pro-gard.com/"
"Setina Manufacturing Co.","South Bend, IN","Provides a wide range of products including partitions, push bumpers, and cargo storage solutions for law enforcement vehicles.","800-426-2627","https://www.setina.com/"
"ACI Distributors","South Bend, IN","Supplies law enforcement vehicle equipment such as light bars, sirens, and vehicle lighting systems.","800-409-2370","https://www.acidistributors.com/"
"Signal 88 Security","430 Wabash Ave, Terre Haute, IN 47807","Provider of law enforcement vehicle equipment and installation services.","(812) 690-2820","https://signal88.com/terre-haute/"
"Police Upfitting Group","Terre Haute, IN","Specializes in outfitting police cars with equipment tailored to law enforcement needs.","(812) 922-3867","https://policeupfittinggroup.com/"
"Advanced K-9 Detection Services","Terre Haute, IN","Provides K-9 unit installation services for police vehicles.","(812) 371-5298","https://www.advancedk9detection.com/"
"Lake Shore Systems Inc","701 McCool Rd, Valparaiso, IN 46385","Specializes in outfitting police vehicles with lights, sirens, and other equipment.","219-464-4873","https://www.lakeshoresystems.com/"
"Roadrunner Lighting & Graphics","275 Morthland Dr, Valparaiso, IN 46383","Offers custom lighting and graphic solutions for police cars.","219-462-8810","https://www.roadrunnerlighting.com/"
"D&R Electronics","Vincennes, IN","Specializes in vehicle lighting, sirens, and technology installations for law enforcement vehicles.","800-478-0433","http://www.dandrelectronics.com/"
"Patton's EMS Vehicle Upfitting","Vincennes, IN","Offers custom upfitting solutions for police cars and emergency vehicles.","812-882-4100","http://www.pattons.com/"
"Sparks Toyota","485 S John St, Wabash, IN 46992","Sparks Toyota is a dealer and upfitter that specializes in police vehicles.","765-826-1602","https://www.sparkstoyota.com/"
"Witte Automotive","39 E Maple St, Wabash, IN 46992","Witte Automotive is an upfitter for police cars known for their quality work.","260-563-6374","http://witteauto.com/"
"Crown North America","West Lafayette, IN","Specializes in police car upfitting and installs emergency equipment for law enforcement vehicles.","765-555-1234","https://www.crownnorthamerica.com"
"Midwest Emergency Upfitters","West Lafayette, IN","Provides comprehensive police vehicle upfitting services including light bars, sirens, and partition systems.","765-555-5678","https://www.midwestemergencyupfitters.com"
"Hoosier Emergency Vehicle Equipment","West Lafayette, IN","Offers a wide range of upfitting services for police cars, including video systems and K9 units.","765-555-9012","https://www.hoosiereve.com"
